First_pokemon,First name,Second_pokemon,Second name,Winner,Loser,First power,Second power,Power diff,Winner type1,Loser type1
435,Torterra,45,Jigglypuff,435,45,525,270,255,Grass,Normal
231,Shuckle,146,Vaporeon,146,231,505,525,20,Water,Bug
510,Snover,715,Keldeo Resolute Forme,715,510,334,580,246,Water,Grass
456,Shieldon,260,Magby,260,456,350,365,15,Fire,Rock
164,Mega Mewtwo X,751,Aegislash Blade Forme,751,164,780,520,-260,Steel,Psychic
424,Groudon,754,Aromatisse,424,754,670,462,208,Ground,Fairy
258,Smoochum,779,Phantump,258,779,305,309,-4,Ice,Ghost
360,Trapinch,208,Sunflora,208,360,290,425,135,Grass,Ground
723,Braixen,646,Vanilluxe,646,723,409,535,126,Ice,Fire
384,Castform,533,Heat Rotom,533,384,420,520,100,Electric,Normal
734,Spewpa,673,Fraxure,673,734,213,410,197,Dragon,Bug
141,Gyarados,721,Chesnaught,141,721,540,530,10,Water,Grass
244,Delibird,741,Skiddo,244,741,330,350,-20,Ice,Grass
509,Mantyke,217,Unown,509,217,345,336,9,Water,Psychic
633,Zoroark,44,Ninetales,633,44,510,505,5,Dark,Fire
595,Conkeldurr,719,Chespin,595,719,505,313,192,Fighting,Grass
606,Scolipede,40,Nidoking,606,40,485,505,-20,Bug,Poison
368,Zangoose,598,Seismitoad,368,598,458,509,-51,Normal,Water
746,Espurr,584,Roggenrola,746,584,355,280,75,Psychic,Rock
350,Mega Sharpedo,187,Pichu,350,187,560,205,355,Water,Electric
303,Pelipper,198,Bellossom,303,198,430,490,-60,Water,Grass
169,Meganium,701,Terrakion,701,169,525,580,55,Rock,Grass
569,Purrloin,115,Hitmonlee,115,569,281,455,174,Fighting,Dark
231,Shuckle,172,Typhlosion,172,231,505,534,29,Fire,Bug
71,Alakazam,440,Prinplup,71,440,500,405,95,Psychic,Water
659,Ferroseed,610,Lilligant,610,659,305,480,175,Grass,Grass
570,Liepard,557,Serperior,557,570,446,528,82,Grass,Dark
712,Kyurem Black Kyurem,40,Nidoking,712,40,700,505,195,Dragon,Poison
451,Luxray,352,Wailord,451,352,523,500,23,Electric,Water
661,Klink,95,Dewgong,95,661,300,475,175,Water,Steel
540,Azelf,4,Mega Venusaur,540,4,580,625,-45,Psychic,Grass
130,Staryu,319,Loudred,130,319,340,360,-20,Water,Normal
125,Mega Kangaskhan,418,Latias,418,125,590,600,10,Dragon,Normal
309,Masquerain,276,Mega Sceptile,276,309,414,630,216,Grass,Bug
579,Pidove,612,Sandile,612,579,264,292,28,Ground,Normal
716,Meloetta Aria Forme,80,Tentacruel,80,716,600,515,-85,Water,Normal
482,Chingling,535,Frost Rotom,535,482,285,520,235,Electric,Psychic
376,Baltoy,37,Nidoqueen,37,376,300,505,205,Poison,Ground
6,Charmeleon,328,Mega Sableye,328,6,405,480,75,Dark,Fire
343,Volbeat,159,Moltres,159,343,400,580,180,Fire,Bug
509,Mantyke,574,Simisear,574,509,345,498,153,Fire,Water
546,Giratina Origin Forme,530,Dusknoir,546,530,680,525,155,Ghost,Ghost
486,Bronzong,229,Scizor,229,486,500,500,0,Bug,Steel
686,Pawniard,213,Umbreon,213,686,340,525,185,Dark,Dark
304,Ralts,386,Shuppet,386,304,198,295,97,Ghost,Psychic
514,Magnezone,732,Talonflame,732,514,535,499,-36,Fire,Electric
161,Dragonair,757,Inkay,161,757,420,288,132,Dragon,Dark
150,Omanyte,265,Suicune,265,150,355,580,225,Water,Rock
436,Chimchar,701,Terrakion,701,436,309,580,271,Rock,Fire
221,Forretress,265,Suicune,265,221,465,580,115,Water,Bug
436,Chimchar,603,Leavanny,603,436,309,500,191,Bug,Fire
242,Remoraid,365,Swablu,242,365,300,310,-10,Water,Normal
792,Noivern,251,Phanpy,792,251,535,330,205,Flying,Ground
607,Cottonee,295,Lombre,607,295,280,340,-60,Grass,Water
439,Piplup,209,Yanma,209,439,314,390,76,Bug,Water
657,Joltik,360,Trapinch,657,360,319,290,29,Bug,Ground
436,Chimchar,40,Nidoking,40,436,309,505,196,Poison,Fire
325,Skitty,408,Shelgon,408,325,260,420,160,Dragon,Normal
472,Ambipom,89,Magnemite,472,89,482,325,157,Normal,Electric
71,Alakazam,777,Goodra,71,777,500,600,-100,Psychic,Dragon
47,Zubat,615,Darumaka,47,615,245,315,-70,Poison,Fire
5,Charmander,670,Lampent,5,670,309,370,-61,Fire,Ghost
793,Xerneas,314,Slaking,314,793,680,670,-10,Normal,Fairy
195,Flaaffy,461,Wormadam Trash Cloak,195,461,365,424,-59,Electric,Bug
493,Gabite,568,Stoutland,493,568,410,500,-90,Dragon,Normal
400,Sealeo,341,Plusle,341,400,410,405,-5,Electric,Ice
63,0,297,Seedot,63,297,455,220,235,Fighting,Grass
541,Dialga,446,Bibarel,541,446,680,410,270,Steel,Normal
141,Gyarados,152,Kabuto,141,152,540,355,185,Water,Rock
54,Venonat,115,Hitmonlee,115,54,305,455,150,Fighting,Bug
378,Lileep,161,Dragonair,161,378,355,420,65,Dragon,Rock
224,Steelix,316,Ninjask,316,224,510,456,-54,Bug,Steel
311,Breloom,398,Mega Glalie,398,311,460,580,120,Ice,Grass
298,Nuzleaf,35,Nidoran♀,298,35,340,275,65,Grass,Poison
356,Torkoal,132,Mr. Mime,356,132,470,460,10,Fire,Psychic
103,Mega Gengar,370,Lunatone,103,370,600,440,160,Ghost,Rock
503,Drapion,453,Roserade,503,453,500,515,-15,Poison,Grass
600,Sawk,598,Seismitoad,600,598,465,509,-44,Fighting,Water
445,Bidoof,45,Jigglypuff,445,45,250,270,-20,Normal,Normal
360,Trapinch,548,Phione,548,360,290,480,190,Water,Ground
303,Pelipper,133,Scyther,133,303,430,500,70,Bug,Water
51,Vileplume,331,Aron,51,331,490,330,160,Grass,Steel
171,Quilava,559,Pignite,171,559,405,418,-13,Fire,Fire
758,Malamar,129,Seaking,758,129,482,450,32,Dark,Water
6,Charmeleon,255,Smeargle,6,255,405,250,155,Fire,Normal
698,Larvesta,154,Aerodactyl,154,698,360,515,155,Rock,Bug
92,Doduo,491,Spiritomb,491,92,310,485,175,Ghost,Normal
381,Armaldo,73,Machop,381,73,495,305,190,Rock,Fighting
354,Camerupt,271,Ho-oh,271,354,460,680,220,Fire,Fire
219,Girafarig,49,Oddish,219,49,455,320,135,Normal,Grass
736,Litleo,244,Delibird,244,736,369,330,-39,Ice,Fire
683,Druddigon,245,Mantine,245,683,485,465,-20,Water,Dragon
533,Heat Rotom,452,Budew,533,452,520,280,240,Electric,Grass
200,Azumarill,588,Swoobat,588,200,420,425,5,Psychic,Water
403,Huntail,636,Gothita,403,636,485,290,195,Water,Psychic
56,Diglett,561,Oshawott,561,56,265,308,43,Water,Ground
54,Venonat,119,Weezing,119,54,305,490,185,Poison,Bug
629,Archeops,141,Gyarados,629,141,567,540,27,Rock,Water
547,Cresselia,779,Phantump,547,779,600,309,291,Psychic,Ghost
380,Anorith,547,Cresselia,547,380,355,600,245,Psychic,Rock
407,Bagon,307,Mega Gardevoir,307,407,300,618,318,Psychic,Dragon
153,Kabutops,559,Pignite,153,559,495,418,77,Rock,Fire
306,Gardevoir,268,Tyranitar,306,268,518,600,-82,Psychic,Rock
89,Magnemite,382,Feebas,89,382,325,200,125,Electric,Water
54,Venonat,32,Raichu,32,54,305,485,180,Electric,Bug
172,Typhlosion,745,Furfrou,745,172,534,472,-62,Normal,Fire
16,Butterfree,110,Electrode,110,16,395,480,85,Electric,Bug
537,Mow Rotom,734,Spewpa,537,734,520,213,307,Electric,Bug
278,Combusken,94,Seel,278,94,405,325,80,Fire,Water
342,Minun,643,Swanna,643,342,405,473,68,Water,Electric
435,Torterra,165,Mega Mewtwo Y,165,435,525,780,255,Psychic,Grass
638,Gothitelle,691,Vullaby,691,638,490,370,-120,Dark,Psychic
734,Spewpa,718,Genesect,718,734,213,600,387,Bug,Bug
298,Nuzleaf,781,Pumpkaboo Average Size,298,781,340,335,5,Grass,Ghost
42,Clefable,113,Cubone,42,113,483,320,163,Fairy,Ground
97,Muk,316,Ninjask,97,316,500,456,44,Poison,Bug
416,Regice,397,Glalie,397,416,580,480,-100,Ice,Ice
483,Stunky,400,Sealeo,483,400,329,410,-81,Poison,Ice
275,Sceptile,155,Mega Aerodactyl,155,275,530,615,85,Rock,Grass
154,Aerodactyl,461,Wormadam Trash Cloak,154,461,515,424,91,Rock,Bug
309,Masquerain,4,Mega Venusaur,4,309,414,625,211,Grass,Bug
539,Mesprit,30,Arbok,30,539,580,438,-142,Poison,Psychic
545,Giratina Altered Forme,266,Larvitar,545,266,680,300,380,Ghost,Rock
283,Swampert,340,Mega Manectric,340,283,535,575,40,Electric,Water
232,Heracross,254,Stantler,254,232,500,465,-35,Normal,Bug
384,Castform,427,Mega Rayquaza,427,384,420,780,360,Dragon,Normal
161,Dragonair,781,Pumpkaboo Average Size,161,781,420,335,85,Dragon,Ghost
496,Munchlax,420,Latios,496,420,390,600,-210,Normal,Dragon
268,Tyranitar,159,Moltres,159,268,600,580,-20,Fire,Rock
473,Drifloon,593,Timburr,473,593,348,305,43,Ghost,Fighting
550,Darkrai,475,Buneary,550,475,600,350,250,Dark,Normal
199,Marill,785,Gourgeist Average Size,785,199,250,494,244,Ghost,Water
385,Kecleon,732,Talonflame,732,385,440,499,59,Fire,Normal
488,Mime Jr.,196,Ampharos,488,196,310,510,-200,Psychic,Electric
30,Arbok,587,Woobat,30,587,438,313,125,Poison,Psychic
36,Nidorina,494,Garchomp,494,36,365,600,235,Dragon,Poison
513,Weavile,184,Crobat,184,513,510,535,25,Poison,Dark
129,Seaking,106,Hypno,129,106,450,483,-33,Water,Psychic
6,Charmeleon,604,Venipede,6,604,405,260,145,Fire,Bug
137,Pinsir,315,Nincada,137,315,500,266,234,Bug,Bug
83,Golem,509,Mantyke,509,83,495,345,-150,Water,Rock
585,Boldore,534,Wash Rotom,585,534,390,520,-130,Rock,Electric
743,Pancham,57,Dugtrio,57,743,348,405,57,Ground,Fighting
220,Pineco,723,Braixen,723,220,290,409,119,Fire,Bug
764,Clawitzer,665,Eelektrik,764,665,500,405,95,Water,Electric
708,Zekrom,439,Piplup,708,439,680,314,366,Dragon,Water
28,Fearow,545,Giratina Altered Forme,545,28,442,680,238,Ghost,Normal
23,Pidgeot,796,Diancie,23,796,479,600,-121,Normal,Rock
698,Larvesta,147,Jolteon,147,698,360,525,165,Electric,Bug
306,Gardevoir,635,Cinccino,635,306,518,470,-48,Normal,Psychic
158,Zapdos,666,Eelektross,158,666,580,515,65,Electric,Electric
55,Venomoth,750,Doublade,750,55,450,448,-2,Steel,Bug
513,Weavile,439,Piplup,513,439,510,314,196,Dark,Water
769,Amaura,264,Entei,264,769,362,580,218,Fire,Rock
232,Heracross,499,Mega Lucario,499,232,500,625,125,Fighting,Bug
23,Pidgeot,623,Sigilyph,23,623,479,490,-11,Normal,Psychic
97,Muk,250,Kingdra,250,97,500,540,40,Water,Poison
324,Nosepass,544,Regigigas,544,324,375,670,295,Normal,Rock
517,Tangrowth,10,Squirtle,517,10,535,314,221,Grass,Water
586,Gigalith,461,Wormadam Trash Cloak,461,586,515,424,-91,Bug,Rock
779,Phantump,349,Sharpedo,349,779,309,460,151,Water,Ghost
669,Litwick,226,Snubbull,226,669,275,300,25,Fairy,Ghost
623,Sigilyph,53,Parasect,623,53,490,405,85,Psychic,Bug
538,Uxie,718,Genesect,718,538,580,600,20,Bug,Psychic
438,Infernape,242,Remoraid,438,242,534,300,234,Fire,Water
523,Glaceon,759,Binacle,523,759,525,306,219,Ice,Rock
14,Caterpie,103,Mega Gengar,103,14,195,600,405,Ghost,Bug
378,Lileep,152,Kabuto,152,378,355,355,0,Rock,Rock
478,Mismagius,361,Vibrava,478,361,495,340,155,Ghost,Ground
137,Pinsir,698,Larvesta,137,698,500,360,140,Bug,Bug
354,Camerupt,739,Floette,739,354,460,371,-89,Fairy,Fire
233,Mega Heracross,684,Golett,684,233,600,303,-297,Ground,Bug
291,Beautifly,605,Whirlipede,291,605,395,360,35,Bug,Bug
96,Grimer,264,Entei,264,96,325,580,255,Fire,Poison
730,Fletchling,137,Pinsir,137,730,278,500,222,Bug,Normal
129,Seaking,744,Pangoro,129,744,450,495,-45,Water,Fighting
611,Basculin,107,Krabby,611,107,460,325,135,Water,Water
58,Meowth,560,Emboar,560,58,290,528,238,Fire,Normal
658,Galvantula,146,Vaporeon,658,146,472,525,-53,Bug,Water
625,Cofagrigus,753,Spritzee,625,753,483,341,142,Ghost,Fairy
524,Gliscor,27,Spearow,524,27,510,262,248,Ground,Normal
794,Yveltal,474,Drifblim,794,474,680,498,182,Dark,Ghost
365,Swablu,391,Tropius,391,365,310,460,150,Grass,Normal
592,Mega Audino,585,Boldore,592,585,545,390,155,Normal,Rock
512,Mega Abomasnow,586,Gigalith,512,586,594,515,79,Grass,Rock
526,Porygon-Z,424,Groudon,424,526,535,670,135,Ground,Normal
70,Kadabra,456,Shieldon,70,456,400,350,50,Psychic,Rock
540,Azelf,288,Linoone,540,288,580,420,160,Psychic,Normal
347,Swalot,389,Duskull,347,389,467,295,172,Poison,Ghost
689,Rufflet,128,Goldeen,128,689,350,320,-30,Water,Normal
211,Quagsire,701,Terrakion,701,211,430,580,150,Rock,Water
336,Medicham,385,Kecleon,336,385,410,440,-30,Fighting,Normal
594,Gurdurr,80,Tentacruel,80,594,405,515,110,Water,Fighting
785,Gourgeist Average Size,490,Chatot,490,785,494,411,-83,Normal,Ghost
425,Primal Groudon,308,Surskit,425,308,770,269,501,Ground,Bug
27,Spearow,731,Fletchinder,731,27,262,382,120,Fire,Normal
459,Wormadam Plant Cloak,399,Spheal,459,399,424,290,134,Bug,Ice
421,Mega Latios,494,Garchomp,421,494,700,600,100,Dragon,Dragon
578,Musharna,768,Tyrantrum,768,578,487,521,34,Rock,Psychic
63,0,82,Graveler,63,82,455,390,65,Fighting,Rock
257,Hitmontop,221,Forretress,257,221,455,465,-10,Fighting,Bug
4,Mega Venusaur,150,Omanyte,4,150,625,355,270,Grass,Rock
546,Giratina Origin Forme,333,Aggron,546,333,680,530,150,Ghost,Steel
308,Surskit,544,Regigigas,544,308,269,670,401,Normal,Bug
213,Umbreon,442,Starly,213,442,525,245,280,Dark,Normal
575,Panpour,302,Wingull,302,575,316,270,-46,Water,Water
209,Yanma,645,Vanillish,209,645,390,395,-5,Bug,Ice
92,Doduo,768,Tyrantrum,92,768,310,521,-211,Normal,Rock
116,Hitmonchan,672,Axew,116,672,455,320,135,Fighting,Dragon
132,Mr. Mime,69,Abra,69,132,460,310,-150,Psychic,Psychic
568,Stoutland,396,Snorunt,568,396,500,300,200,Normal,Ice
644,Vanillite,218,Wobbuffet,644,218,305,405,-100,Ice,Psychic
321,Makuhita,163,Mewtwo,163,321,237,680,443,Psychic,Fighting
17,Weedle,164,Mega Mewtwo X,164,17,195,780,585,Psychic,Bug
715,Keldeo Resolute Forme,190,Togepi,715,190,580,245,335,Water,Fairy
51,Vileplume,57,Dugtrio,51,57,490,405,85,Grass,Ground
237,Slugma,448,Kricketune,448,237,250,384,134,Bug,Fire
580,Tranquill,676,Beartic,580,676,358,485,-127,Normal,Ice
789,Bergmite,726,Frogadier,726,789,304,405,101,Water,Ice
420,Latios,718,Genesect,420,718,600,600,0,Dragon,Bug
83,Golem,499,Mega Lucario,499,83,495,625,130,Fighting,Rock
526,Porygon-Z,159,Moltres,159,526,535,580,45,Fire,Normal
115,Hitmonlee,56,Diglett,56,115,455,265,-190,Ground,Fighting
358,Grumpig,636,Gothita,358,636,470,290,180,Psychic,Psychic
54,Venonat,532,Rotom,532,54,305,440,135,Electric,Bug
534,Wash Rotom,798,Hoopa Confined,534,798,520,600,-80,Electric,Psychic
768,Tyrantrum,179,Noctowl,768,179,521,442,79,Rock,Normal
94,Seel,724,Delphox,724,94,325,534,209,Fire,Water
795,Zygarde Half Forme,437,Monferno,795,437,600,405,195,Dragon,Fire
313,Vigoroth,432,Deoxys Speed Forme,432,313,440,600,160,Psychic,Normal
305,Kirlia,251,Phanpy,305,251,278,330,-52,Psychic,Ground
269,Mega Tyranitar,289,Wurmple,269,289,700,195,505,Rock,Bug
593,Timburr,733,Scatterbug,733,593,305,200,-105,Bug,Fighting
568,Stoutland,428,Jirachi,428,568,500,600,100,Steel,Normal
290,Silcoon,287,Zigzagoon,287,290,205,240,35,Normal,Bug
762,Dragalge,733,Scatterbug,762,733,494,200,294,Poison,Bug
217,Unown,100,Gastly,100,217,336,310,-26,Ghost,Psychic
668,Beheeyem,87,Slowbro,668,87,485,490,-5,Psychic,Water
165,Mega Mewtwo Y,49,Oddish,165,49,780,320,460,Psychic,Grass
123,Tangela,771,Sylveon,771,123,435,525,90,Fairy,Grass
261,Miltank,154,Aerodactyl,154,261,490,515,25,Rock,Normal
225,Mega Steelix,640,Duosion,640,225,610,370,-240,Psychic,Steel
313,Vigoroth,103,Mega Gengar,103,313,440,600,160,Ghost,Normal
106,Hypno,505,Toxicroak,505,106,483,490,7,Poison,Psychic
453,Roserade,614,Krookodile,614,453,515,519,4,Ground,Grass
107,Krabby,48,Golbat,48,107,325,455,130,Poison,Water
722,Fennekin,590,Excadrill,590,722,307,508,201,Ground,Fire
559,Pignite,431,Deoxys Defense Forme,431,559,418,600,182,Psychic,Fire
141,Gyarados,727,Greninja,727,141,540,530,-10,Water,Water
490,Chatot,239,Swinub,490,239,411,250,161,Normal,Ice
490,Chatot,340,Mega Manectric,340,490,411,575,164,Electric,Normal
373,Whiscash,128,Goldeen,128,373,468,320,-148,Water,Water
3,Venusaur,730,Fletchling,3,730,525,278,247,Grass,Normal
502,Skorupi,91,Farfetch'd,502,91,330,352,-22,Poison,Normal
714,Keldeo Ordinary Forme,104,Onix,714,104,580,385,195,Water,Rock
788,Gourgeist Super Size,276,Mega Sceptile,276,788,494,630,136,Grass,Ghost
459,Wormadam Plant Cloak,16,Butterfree,16,459,424,395,-29,Bug,Bug
432,Deoxys Speed Forme,143,Lapras,432,143,600,535,65,Psychic,Water
724,Delphox,2,Ivysaur,724,2,534,405,129,Fire,Grass
648,Sawsbuck,533,Heat Rotom,648,533,475,520,-45,Normal,Electric
250,Kingdra,357,Spoink,250,357,540,330,210,Water,Psychic
155,Mega Aerodactyl,439,Piplup,155,439,615,314,301,Rock,Water
447,Kricketot,20,Mega Beedrill,20,447,194,495,301,Bug,Bug
366,Altaria,371,Solrock,366,371,490,440,50,Dragon,Rock
337,Mega Medicham,770,Aurorus,337,770,510,521,-11,Fighting,Rock
358,Grumpig,765,Helioptile,358,765,470,289,181,Psychic,Electric
198,Bellossom,110,Electrode,198,110,490,480,10,Grass,Electric
152,Kabuto,760,Barbaracle,760,152,355,500,145,Rock,Rock
164,Mega Mewtwo X,577,Munna,164,577,780,292,488,Psychic,Psychic
174,Croconaw,646,Vanilluxe,646,174,405,535,130,Ice,Water
438,Infernape,59,Persian,59,438,534,440,-94,Normal,Fire
614,Krookodile,443,Staravia,614,443,519,340,179,Ground,Normal
789,Bergmite,127,Seadra,127,789,304,440,136,Water,Ice
504,Croagunk,421,Mega Latios,421,504,300,700,400,Dragon,Poison
565,Watchog,214,Murkrow,214,565,420,405,-15,Dark,Normal
158,Zapdos,635,Cinccino,635,158,580,470,-110,Normal,Electric
386,Shuppet,21,Pidgey,21,386,295,251,-44,Normal,Ghost
408,Shelgon,404,Gorebyss,404,408,420,485,65,Water,Dragon
349,Sharpedo,440,Prinplup,349,440,460,405,55,Water,Water
410,Mega Salamence,295,Lombre,410,295,700,340,360,Dragon,Water
83,Golem,569,Purrloin,569,83,495,281,-214,Dark,Rock
249,Mega Houndoom,411,Beldum,249,411,600,300,300,Dark,Steel
173,Totodile,609,Petilil,173,609,314,280,34,Water,Grass
770,Aurorus,572,Simisage,572,770,521,498,-23,Grass,Rock
51,Vileplume,473,Drifloon,473,51,490,348,-142,Ghost,Grass
452,Budew,106,Hypno,106,452,280,483,203,Psychic,Grass
550,Darkrai,769,Amaura,550,769,600,362,238,Dark,Rock
525,Mamoswine,740,Florges,525,740,530,552,-22,Ice,Fairy
464,Vespiquen,762,Dragalge,762,464,474,494,20,Poison,Bug
147,Jolteon,798,Hoopa Confined,798,147,525,600,75,Psychic,Electric
572,Simisage,45,Jigglypuff,572,45,498,270,228,Grass,Normal
569,Purrloin,741,Skiddo,569,741,281,350,-69,Dark,Grass
193,Xatu,28,Fearow,28,193,470,442,-28,Normal,Psychic
247,Houndour,445,Bidoof,247,445,330,250,80,Dark,Normal
511,Abomasnow,280,Mega Blaziken,280,511,494,630,136,Fire,Grass
435,Torterra,44,Ninetales,44,435,525,505,-20,Fire,Grass
794,Yveltal,359,Spinda,794,359,680,360,320,Dark,Normal
196,Ampharos,758,Malamar,758,196,510,482,-28,Dark,Electric
470,Shellos,410,Mega Salamence,410,470,325,700,375,Dragon,Water
631,Garbodor,164,Mega Mewtwo X,164,631,474,780,306,Psychic,Poison
451,Luxray,790,Avalugg,451,790,523,514,9,Electric,Ice
211,Quagsire,442,Starly,442,211,430,245,-185,Normal,Water
773,Dedenne,582,Blitzle,773,582,431,295,136,Electric,Electric
403,Huntail,59,Persian,59,403,485,440,-45,Normal,Water
401,Walrein,413,Metagross,413,401,530,600,70,Steel,Ice
228,Qwilfish,679,Accelgor,679,228,430,495,65,Bug,Water
753,Spritzee,196,Ampharos,196,753,341,510,169,Electric,Fairy
578,Musharna,434,Grotle,434,578,487,405,-82,Grass,Psychic
210,Wooper,40,Nidoking,40,210,210,505,295,Poison,Water
38,Nidoran♂,716,Meloetta Aria Forme,716,38,273,600,327,Normal,Poison
18,Kakuna,458,Burmy,458,18,205,224,19,Bug,Bug
538,Uxie,742,Gogoat,538,742,580,531,49,Psychic,Grass
702,Virizion,627,Carracosta,702,627,580,495,85,Grass,Water
403,Huntail,412,Metang,403,412,485,420,65,Water,Steel
517,Tangrowth,136,Magmar,136,517,535,495,-40,Fire,Grass
465,Pachirisu,89,Magnemite,465,89,405,325,80,Electric,Electric
505,Toxicroak,502,Skorupi,505,502,490,330,160,Poison,Poison
601,Sewaddle,644,Vanillite,644,601,310,305,-5,Ice,Bug
459,Wormadam Plant Cloak,84,Ponyta,84,459,424,410,-14,Fire,Bug
548,Phione,525,Mamoswine,525,548,480,530,50,Ice,Water
707,Reshiram,521,Yanmega,521,707,680,515,-165,Bug,Dragon
14,Caterpie,62,Mankey,62,14,195,305,110,Fighting,Bug
728,Bunnelby,501,Hippowdon,728,501,237,525,-288,Normal,Ground
182,Spinarak,246,Skarmory,246,182,250,465,215,Steel,Bug
741,Skiddo,117,Lickitung,741,117,350,385,-35,Grass,Normal
29,Ekans,431,Deoxys Defense Forme,431,29,288,600,312,Psychic,Poison
719,Chespin,574,Simisear,574,719,313,498,185,Fire,Grass
209,Yanma,477,Mega Lopunny,477,209,390,580,190,Normal,Bug
492,Gible,37,Nidoqueen,37,492,300,505,205,Poison,Dragon
425,Primal Groudon,43,Vulpix,425,43,770,299,471,Ground,Fire
207,Sunkern,284,Mega Swampert,284,207,180,635,455,Water,Grass
749,Honedge,512,Mega Abomasnow,512,749,325,594,269,Grass,Steel
539,Mesprit,153,Kabutops,153,539,580,495,-85,Rock,Psychic
152,Kabuto,159,Moltres,159,152,355,580,225,Fire,Rock
738,Flabébé,18,Kakuna,738,18,303,205,98,Fairy,Bug
182,Spinarak,579,Pidove,579,182,250,264,14,Normal,Bug
69,Abra,302,Wingull,69,302,310,270,40,Psychic,Water
173,Totodile,713,Kyurem White Kyurem,713,173,314,700,386,Dragon,Water
488,Mime Jr.,199,Marill,488,199,310,250,60,Psychic,Water
683,Druddigon,506,Carnivine,683,506,485,454,31,Dragon,Grass
2,Ivysaur,619,Dwebble,2,619,405,325,80,Grass,Bug
735,Vivillon,255,Smeargle,735,255,411,250,161,Bug,Normal
70,Kadabra,800,Volcanion,70,800,400,600,-200,Psychic,Fire
120,Rhyhorn,67,Poliwhirl,67,120,345,385,40,Water,Ground
738,Flabébé,610,Lilligant,610,738,303,480,177,Grass,Fairy
68,Poliwrath,397,Glalie,397,68,510,480,-30,Ice,Water
540,Azelf,714,Keldeo Ordinary Forme,540,714,580,580,0,Psychic,Water
184,Crobat,197,Mega Ampharos,184,197,535,610,-75,Poison,Electric
577,Munna,58,Meowth,58,577,292,290,-2,Normal,Psychic
750,Doublade,29,Ekans,29,750,448,288,-160,Poison,Steel
391,Tropius,640,Duosion,391,640,460,370,90,Grass,Psychic
211,Quagsire,737,Pyroar,211,737,430,507,-77,Water,Fire
