First_pokemon,Second_pokemon,Winner,FirstWins,FType1,FType2,SType1,SType2,DifHP,DifAttack,DifDefense,DifSpAttack,DifSpDefense,DifSpeed,DifTotal
304,386,386,0,Psychic,Fairy,Ghost,NA,-16,-50,-10,-18,2,-5,-97
514,732,732,0,Electric,Steel,Fire,Flying,-8,-11,44,56,21,-66,36
161,757,161,1,Dragon,NA,Dark,Psychic,8,30,12,33,24,25,132
150,265,265,0,Rock,Water,Water,NA,-65,-35,-15,0,-60,-50,-225
436,701,701,0,Fire,NA,Rock,Fighting,-47,-71,-46,-14,-46,-47,-271
221,265,265,0,Bug,Steel,Water,NA,-25,15,25,-30,-55,-45,-115
436,603,603,0,Fire,NA,Bug,Grass,-31,-45,-36,-12,-36,-31,-191
242,365,242,1,Water,NA,Normal,Flying,-10,25,-25,25,-40,15,-10
792,251,792,1,Flying,Dragon,Ground,NA,-5,10,20,57,40,83,205
607,295,607,1,Grass,Fairy,Water,Grass,-20,-23,10,-23,-20,16,-60
439,209,209,0,Water,NA,Bug,Flying,-12,-14,8,-14,11,-55,-76
657,360,657,1,Bug,Electric,Ground,NA,5,-53,5,12,5,55,29
436,40,40,0,Fire,NA,Poison,Ground,-37,-44,-33,-27,-31,-24,-196
325,408,408,0,Normal,NA,Dragon,NA,-15,-50,-55,-25,-15,0,-160
472,89,472,1,Normal,NA,Electric,Steel,50,65,-4,-35,11,70,157
71,777,71,1,Psychic,NA,Dragon,NA,-35,-50,-25,25,-55,40,-100
47,615,47,1,Poison,Flying,Fire,NA,-30,-45,-10,15,-5,5,-70
5,670,5,1,Fire,NA,Ghost,Fire,-21,12,-17,-35,-10,10,-61
793,314,314,0,Fairy,NA,Normal,NA,-24,-29,-5,36,33,-1,10
195,461,195,1,Electric,NA,Bug,Steel,10,-14,-40,11,-35,9,-59
493,568,493,1,Dragon,Ground,Normal,NA,-17,-20,-25,5,-35,2,-90
400,341,341,0,Ice,Water,Electric,NA,30,10,30,-10,-5,-50,5
63,297,63,1,Fighting,NA,Grass,NA,25,65,10,30,40,65,235
541,446,541,1,Steel,Dragon,Normal,Water,21,35,60,95,40,19,270
141,152,141,1,Water,Flying,Rock,Water,65,45,-11,5,55,26,185
54,115,115,0,Bug,Poison,Fighting,NA,10,-65,-3,5,-55,-42,-150
378,161,161,0,Rock,Grass,Dragon,NA,5,-43,12,-9,17,-47,-65
224,316,316,0,Steel,Ground,Bug,Flying,14,-5,155,5,15,-130,54
311,398,398,0,Grass,Fighting,Ice,NA,-20,10,0,-60,-20,-30,-120
298,35,298,1,Grass,Dark,Poison,NA,15,23,-12,20,0,19,65
356,132,356,1,Fire,NA,Psychic,Fairy,30,40,75,-15,-50,-70,10
103,370,103,1,Ghost,Poison,Rock,Psychic,-10,10,15,75,10,60,160
503,453,503,1,Poison,Dark,Grass,Poison,10,20,45,-65,-30,5,-15
600,598,600,1,Fighting,NA,Water,Ground,-30,30,0,-55,0,11,-44
445,45,445,1,Normal,NA,Normal,Fairy,-56,0,20,-10,15,11,-20
360,548,548,0,Ground,NA,Water,NA,-35,20,-35,-35,-35,-70,-190
303,133,133,0,Water,Flying,Bug,Flying,-10,-60,20,30,-10,-40,-70
51,331,51,1,Grass,Poison,Steel,Rock,25,10,-15,70,50,20,160
171,559,171,1,Fire,NA,Fire,Fighting,-32,-29,3,10,10,25,-13
758,129,758,1,Dark,Psychic,Water,NA,6,0,23,3,-5,5,32
6,255,6,1,Fire,NA,Normal,NA,3,44,23,60,20,5,155
698,154,154,0,Bug,Fire,Rock,Flying,-25,-20,-10,-10,-20,-70,-155
92,491,491,0,Normal,Flying,Ghost,Dark,-15,-7,-63,-57,-73,40,-175
381,73,381,1,Rock,Bug,Fighting,NA,5,45,50,35,45,10,190
354,271,271,0,Fire,Ground,Fire,Flying,-36,-30,-20,-5,-79,-50,-220
219,49,219,1,Normal,Psychic,Grass,Poison,25,30,10,15,0,55,135
736,244,244,0,Fire,Normal,Ice,Flying,17,-5,13,8,9,-3,39
683,245,245,0,Dragon,NA,Water,Flying,12,80,20,-20,-50,-22,20
533,452,533,1,Electric,Fire,Grass,Poison,10,35,72,55,37,31,240
200,588,588,0,Water,Fairy,Psychic,Flying,33,-7,25,-17,25,-64,-5
403,636,403,1,Water,NA,Psychic,NA,10,74,55,39,10,7,195
56,561,561,0,Ground,NA,Water,NA,-45,0,-20,-28,0,50,-43
54,119,119,0,Bug,Poison,Poison,NA,-5,-35,-70,-45,-15,-15,-185
629,141,629,1,Rock,Flying,Water,Flying,-20,15,-14,52,-35,29,27
547,779,547,1,Psychic,NA,Ghost,Grass,77,0,72,25,70,47,291
380,547,547,0,Rock,Bug,Psychic,NA,-75,25,-70,-35,-80,-10,-245
407,307,307,0,Dragon,NA,Psychic,Fairy,-23,-10,-5,-125,-105,-50,-318
153,559,153,1,Rock,Water,Fire,Fighting,-30,22,50,-5,15,25,77
306,268,306,1,Psychic,Fairy,Rock,Dark,-32,-69,-45,30,15,19,-82
89,382,89,1,Electric,Steel,Water,NA,5,20,50,85,0,-35,125
54,32,32,0,Bug,Poison,Electric,NA,0,-35,-5,-50,-25,-65,-180
172,745,745,0,Fire,NA,Normal,NA,3,4,18,44,-5,-2,62
16,110,110,0,Bug,Flying,Electric,NA,0,-5,-20,10,0,-70,-85
537,734,537,1,Electric,Grass,Bug,NA,5,43,47,78,77,57,307
278,94,278,1,Fire,Fighting,Water,NA,-5,40,5,40,-10,10,80
342,643,643,0,Electric,NA,Water,Flying,-15,-47,-13,-12,22,-3,-68
435,165,165,0,Grass,Ground,Psychic,NA,-11,-41,35,-119,-35,-84,-255
638,691,691,0,Psychic,NA,Dark,Flying,0,0,20,50,45,5,120
734,718,718,0,Bug,NA,Bug,Steel,-26,-98,-35,-93,-65,-70,-387
298,781,298,1,Grass,Dark,Ghost,Grass,21,4,-30,16,-15,9,5
42,113,42,1,Fairy,NA,Ground,NA,45,20,-22,55,40,25,163
97,316,97,1,Poison,NA,Bug,Flying,44,15,30,15,50,-110,44
416,397,397,0,Ice,NA,Ice,NA,0,-30,20,20,120,-30,100
483,400,483,1,Poison,Dark,Ice,Water,-27,3,-23,-34,-29,29,-81
275,155,155,0,Grass,NA,Rock,Flying,-10,-50,-20,35,-10,-30,-85
154,461,154,1,Rock,Flying,Bug,Steel,20,36,-30,-9,-20,94,91
309,4,4,0,Bug,Flying,Grass,Poison,-10,-40,-61,-42,-38,-20,-211
539,30,30,0,Psychic,NA,Poison,NA,20,20,36,40,26,0,142
545,266,545,1,Ghost,Dragon,Rock,Ground,100,36,70,55,70,49,380
283,340,340,0,Water,Ground,Electric,NA,30,35,10,-50,10,-75,-40
232,254,254,0,Bug,Fighting,Normal,NA,7,30,13,-45,30,0,35
384,427,427,0,Normal,NA,Dragon,Flying,-35,-110,-30,-110,-30,-45,-360
161,781,161,1,Dragon,NA,Ghost,Grass,12,18,-5,26,15,19,85
496,420,496,1,Normal,NA,Dragon,Psychic,55,-5,-40,-90,-25,-105,-210
268,159,159,0,Rock,Dark,Fire,Flying,10,34,20,-30,15,-29,20
473,593,473,1,Ghost,Flying,Fighting,NA,15,-30,-21,35,9,35,43
550,475,550,1,Dark,NA,Normal,NA,15,24,46,91,34,40,250
199,785,785,0,Water,Fairy,Ghost,Grass,5,-70,-72,-38,-25,-44,-244
385,732,732,0,Normal,NA,Fire,Flying,-18,9,-1,-14,51,-86,-59
488,196,488,1,Psychic,Fairy,Electric,NA,-70,-50,-40,-45,0,5,-200
30,587,30,1,Poison,NA,Psychic,Flying,5,40,26,10,36,8,125
36,494,494,0,Poison,NA,Dragon,Ground,-38,-68,-28,-25,-30,-46,-235
513,184,184,0,Dark,Ice,Poison,Flying,-15,30,-15,-25,5,-5,-25
129,106,129,1,Water,NA,Psychic,NA,-5,19,-5,-8,-35,1,-33
6,604,6,1,Fire,NA,Bug,Poison,28,19,-1,50,26,23,145
137,315,137,1,Bug,NA,Bug,Ground,34,80,10,25,40,45,234
83,509,509,0,Rock,Ground,Water,Flying,35,100,80,-5,-55,-5,150
585,534,585,1,Rock,NA,Electric,Water,20,40,-2,-55,-67,-66,-130
743,57,57,0,Fighting,NA,Ground,NA,32,2,12,-4,-22,-77,-57
220,723,723,0,Bug,NA,Fire,NA,-9,6,32,-55,-35,-58,-119
764,665,764,1,Water,NA,Electric,NA,6,-12,18,45,19,19,95
708,439,708,1,Dragon,Electric,Water,NA,47,99,67,59,44,50,366
28,545,545,0,Normal,Flying,Ghost,Dragon,-85,-10,-55,-39,-59,10,-238
23,796,23,1,Normal,Flying,Rock,Fairy,33,-20,-75,-30,-80,51,-121
698,147,147,0,Bug,Fire,Electric,NA,-10,20,-5,-60,-40,-70,-165
306,635,635,0,Psychic,Fairy,Normal,NA,-7,-30,5,60,55,-35,48
158,666,158,1,Electric,Flying,Electric,NA,5,-25,5,20,10,50,65
55,750,750,0,Bug,Poison,Steel,Ghost,11,-45,-90,45,26,55,2
513,439,513,1,Dark,Ice,Water,NA,17,69,12,-16,29,85,196
769,264,264,0,Rock,Ice,Fire,NA,-38,-56,-35,-23,-12,-54,-218
232,499,499,0,Bug,Fighting,Fighting,Steel,10,-20,-13,-100,25,-27,-125
23,623,23,1,Normal,Flying,Psychic,Flying,11,22,-5,-33,-10,4,-11
97,250,250,0,Poison,NA,Water,Dragon,30,10,-20,-30,5,-35,-40
324,544,544,0,Rock,NA,Normal,NA,-80,-115,25,-35,-20,-70,-295
517,10,517,1,Grass,NA,Water,NA,56,52,60,60,-14,7,221
586,461,461,0,Rock,NA,Bug,Steel,25,66,35,-9,-15,-11,91
779,349,349,0,Ghost,Grass,Water,Dark,-27,-50,8,-45,20,-57,-151
669,226,226,0,Ghost,Fire,Fairy,NA,-10,-50,5,25,15,-10,-25
623,53,623,1,Psychic,Flying,Bug,Grass,12,-37,0,43,0,67,85
538,718,718,0,Psychic,NA,Bug,Steel,4,-45,35,-45,35,-4,-20
438,242,438,1,Fire,Fighting,Water,NA,41,39,36,39,36,43,234
523,759,523,1,Ice,NA,Rock,Water,23,8,43,91,39,15,219
14,103,103,0,Bug,NA,Ghost,Poison,-15,-35,-45,-150,-75,-85,-405
378,152,152,0,Rock,Grass,Rock,Water,36,-39,-13,6,42,-32,0
478,361,478,1,Ghost,NA,Ground,Dragon,10,-10,10,55,55,35,155
137,698,137,1,Bug,NA,Bug,Fire,10,40,45,5,15,25,140
354,739,739,0,Fire,Ground,Fairy,NA,16,55,23,30,-23,-12,89
233,684,684,0,Bug,Fighting,Ground,Ghost,21,111,65,5,55,40,297
291,605,291,1,Bug,Flying,Bug,Poison,20,15,-49,60,-29,18,35
96,264,264,0,Poison,NA,Fire,NA,-35,-35,-35,-50,-25,-75,-255
730,137,137,0,Normal,Flying,Bug,NA,-20,-75,-57,-15,-32,-23,-222
129,744,129,1,Water,NA,Fighting,Dark,-15,-32,-13,-4,9,10,-45
611,107,611,1,Water,NA,Water,NA,40,-13,-25,55,30,48,135
58,560,560,0,Normal,NA,Fire,Fighting,-70,-78,-30,-60,-25,25,-238
658,146,658,1,Bug,Electric,Water,NA,-60,12,0,-13,-35,43,-53
625,753,625,1,Ghost,NA,Fairy,NA,-20,-2,85,32,40,7,142
524,27,524,1,Ground,Flying,Normal,Flying,35,35,95,14,44,25,248
794,474,794,1,Dark,Flying,Ghost,Flying,-24,51,51,41,44,19,182
365,391,391,0,Normal,Flying,Grass,Flying,-54,-28,-23,-32,-12,-1,-150
592,585,592,1,Normal,Fairy,Rock,NA,33,-45,21,30,86,30,155
512,586,512,1,Grass,Ice,Rock,NA,5,-3,-25,72,25,5,79
526,424,424,0,Normal,NA,Ground,NA,-15,-70,-70,35,-15,0,-135
70,456,70,1,Psychic,NA,Rock,Steel,10,-7,-88,78,-18,75,50
540,288,540,1,Psychic,NA,Normal,NA,-3,55,9,75,9,15,160
347,389,347,1,Poison,NA,Ghost,NA,80,33,-7,43,-7,30,172
689,128,128,0,Normal,Flying,Water,NA,25,16,-10,2,0,-3,30
211,701,701,0,Water,Ground,Rock,Fighting,4,-44,-5,-7,-25,-73,-150
336,385,336,1,Fighting,Psychic,Normal,NA,0,-30,5,0,-45,40,-30
594,80,80,0,Fighting,NA,Water,Poison,5,35,20,-40,-70,-60,-110
785,490,490,0,Ghost,Grass,Normal,Flying,-11,25,77,-34,33,-7,83
425,308,425,1,Ground,Fire,Bug,Water,60,150,128,100,38,25,501
27,731,731,0,Normal,Flying,Fire,Flying,-22,-13,-25,-25,-21,-14,-120
459,399,459,1,Bug,Grass,Ice,Water,-10,19,35,24,55,11,134
421,494,421,1,Dragon,Psychic,Dragon,Ground,-28,0,5,80,35,8,100
578,768,768,0,Psychic,NA,Rock,Dragon,34,-66,-34,38,36,-42,-34
63,82,63,1,Fighting,NA,Rock,Ground,10,10,-55,15,25,60,65
257,221,257,1,Fighting,NA,Bug,Steel,-25,5,-45,-25,50,30,-10
4,150,4,1,Grass,Poison,Rock,Water,45,60,23,32,65,45,270
546,333,546,1,Ghost,Dragon,Steel,Rock,80,10,-80,60,40,40,150
308,544,544,0,Bug,Water,Normal,NA,-70,-130,-78,-30,-58,-35,-401
213,442,213,1,Dark,NA,Normal,Flying,55,10,80,30,100,5,280
575,302,302,0,Water,NA,Water,Flying,10,23,18,-2,18,-21,46
209,645,209,1,Bug,Flying,Ice,NA,14,0,-20,-5,-30,36,-5
92,768,92,1,Normal,Flying,Rock,Dragon,-47,-36,-74,-34,-24,4,-211
116,672,116,1,Fighting,NA,Dragon,NA,4,18,19,5,70,19,135
132,69,69,0,Psychic,Fairy,Psychic,NA,15,25,50,-5,65,0,150
568,396,568,1,Normal,NA,Ice,NA,35,60,40,-5,40,30,200
644,218,644,1,Ice,NA,Psychic,NA,-154,17,-8,32,2,11,-100
321,163,163,0,Fighting,NA,Psychic,NA,-34,-50,-60,-134,-60,-105,-443
17,164,164,0,Bug,Poison,Psychic,Fighting,-66,-155,-70,-134,-80,-80,-585
715,190,715,1,Water,Fighting,Fairy,NA,56,52,25,89,25,88,335
51,57,51,1,Grass,Poison,Ground,NA,40,0,35,60,20,-70,85
237,448,448,0,Fire,NA,Bug,NA,-37,-45,-11,15,-11,-45,-134
580,676,580,1,Normal,Flying,Ice,NA,-33,-33,-18,-20,-38,15,-127
789,726,726,0,Ice,NA,Water,NA,1,6,33,-51,-21,-69,-101
420,718,420,1,Dragon,Psychic,Bug,Steel,9,-30,-15,10,15,11,0
83,499,499,0,Rock,Ground,Fighting,Steel,10,-25,42,-85,-5,-67,-130
526,159,159,0,Normal,NA,Fire,Flying,-5,-20,-20,10,-10,0,-45
115,56,56,0,Fighting,NA,Ground,NA,40,65,28,0,65,-8,190
358,636,358,1,Psychic,NA,Psychic,NA,35,15,15,35,45,35,180
54,532,532,0,Bug,Poison,Electric,Ghost,10,5,-27,-55,-22,-46,-135
534,798,534,1,Electric,Water,Psychic,Ghost,-30,-45,47,-45,-23,16,-80
768,179,768,1,Rock,Dragon,Normal,Flying,-18,71,69,-7,-37,1,79
94,724,724,0,Water,NA,Fire,Psychic,-10,-24,-17,-69,-30,-59,-209
795,437,795,1,Dragon,Ground,Fire,Fighting,44,22,69,3,43,14,195
313,432,432,0,Normal,NA,Psychic,NA,30,-15,-10,-40,-35,-90,-160
305,251,305,1,Psychic,Fairy,Ground,NA,-52,-25,-25,25,15,10,-52
269,289,269,1,Rock,Dark,Bug,NA,55,119,115,75,90,51,505
593,733,733,0,Fighting,NA,Bug,NA,37,45,15,-2,10,0,105
568,428,428,0,Normal,NA,Steel,Psychic,-15,10,-10,-55,-10,-20,-100
290,287,287,0,Bug,NA,Normal,NA,12,5,14,-5,-16,-45,-35
762,733,762,1,Poison,Dragon,Bug,NA,27,40,50,70,98,9,294
217,100,100,0,Psychic,NA,Ghost,Poison,18,37,18,-28,13,-32,26
668,87,668,1,Psychic,NA,Water,Psychic,-20,0,-35,25,15,10,-5
165,49,165,1,Psychic,NA,Grass,Poison,61,100,15,119,55,110,460
123,771,771,0,Grass,NA,Fairy,NA,-30,-10,50,-10,-90,0,-90
261,154,154,0,Normal,NA,Rock,Flying,15,-25,40,-20,-5,-30,-25
225,640,640,0,Steel,Ground,Psychic,NA,10,85,180,-70,35,0,240
313,103,103,0,Normal,NA,Ghost,Poison,20,15,0,-115,-40,-40,-160
106,505,505,0,Psychic,NA,Poison,Fighting,2,-33,5,-13,50,-18,-7
453,614,614,0,Grass,Poison,Ground,Dark,-35,-47,-15,60,35,-2,-4
107,48,48,0,Water,NA,Poison,Flying,-45,25,20,-40,-50,-40,-130
722,590,590,0,Fire,NA,Ground,Steel,-70,-90,-20,12,-5,-28,-201
559,431,431,0,Fire,Fighting,Psychic,NA,40,23,-105,0,-105,-35,-182
141,727,727,0,Water,Flying,Water,Dark,23,30,12,-43,29,-41,10
490,239,490,1,Normal,Flying,Ice,Ground,26,15,5,62,12,41,161
490,340,340,0,Normal,Flying,Electric,NA,6,-10,-35,-43,-38,-44,-164
373,128,128,0,Water,Ground,Water,NA,65,11,13,41,21,-3,148
3,730,3,1,Grass,Poison,Normal,Flying,35,32,40,60,62,18,247
502,91,502,1,Poison,Bug,Normal,Flying,-12,-15,35,-28,-7,5,-22
714,104,714,1,Water,Fighting,Rock,Ground,56,27,-70,99,45,38,195
788,276,276,0,Ghost,Grass,Grass,Dragon,15,-10,47,-87,-10,-91,-136
459,16,16,0,Bug,Grass,Bug,Flying,0,14,35,-11,25,-34,29
432,143,432,1,Psychic,NA,Water,Ice,-80,10,10,10,-5,120,65
724,2,724,1,Fire,Psychic,Grass,Poison,15,7,9,34,20,44,129
648,533,648,1,Normal,Grass,Electric,Fire,30,35,-37,-45,-37,9,-45
250,357,250,1,Water,Dragon,Psychic,NA,15,70,60,25,15,25,210
155,439,155,1,Rock,Flying,Water,NA,27,84,32,9,39,110,301
447,20,20,0,Bug,NA,Bug,Poison,-28,-125,1,10,-39,-120,-301
366,371,366,1,Dragon,Flying,Rock,Psychic,5,-25,5,15,40,10,50
337,770,337,1,Fighting,Psychic,Rock,Ice,-63,23,13,-19,-7,42,-11
358,765,358,1,Psychic,NA,Electric,Normal,36,7,32,29,67,10,181
198,110,198,1,Grass,NA,Electric,NA,15,30,25,10,20,-90,10
152,760,760,0,Rock,Water,Rock,Water,-42,-25,-25,1,-41,-13,-145
164,577,164,1,Psychic,Fighting,Psychic,NA,30,165,55,87,45,106,488
174,646,646,0,Water,NA,Ice,NA,-6,-15,-5,-51,-32,-21,-130
438,59,59,0,Fire,Fighting,Normal,NA,11,34,11,39,6,-7,94
614,443,614,1,Ground,Dark,Normal,Flying,40,42,30,25,30,12,179
789,127,127,0,Ice,NA,Water,NA,0,4,-10,-63,-10,-57,-136
504,421,421,0,Poison,Fighting,Dragon,Psychic,-32,-69,-60,-99,-80,-60,-400
565,214,214,0,Normal,NA,Dark,Flying,0,0,27,-25,27,-14,15
158,635,635,0,Electric,Flying,Normal,NA,15,-5,25,60,30,-15,110
386,21,21,0,Ghost,NA,Normal,Flying,4,30,-5,28,-2,-11,44
408,404,404,0,Dragon,NA,Water,NA,10,11,-5,-54,-25,-2,-65
349,440,349,1,Water,Dark,Water,NA,6,54,-28,14,-36,45,55
410,295,410,1,Dragon,Flying,Water,Grass,35,95,80,60,20,70,360
83,569,569,0,Rock,Ground,Dark,NA,39,70,93,5,28,-21,214
249,411,249,1,Dark,Fire,Steel,Psychic,35,35,10,105,30,85,300
173,609,173,1,Water,NA,Grass,NA,5,30,14,-26,-2,13,34
770,572,572,0,Rock,Ice,Grass,NA,48,-21,9,1,29,-43,23
51,473,473,0,Grass,Poison,Ghost,Flying,-15,30,51,50,46,-20,142
452,106,106,0,Grass,Poison,Psychic,NA,-45,-43,-35,-23,-45,-12,-203
550,769,550,1,Dark,NA,Rock,Ice,-7,31,40,68,27,79,238
525,740,525,1,Ice,Ground,Fairy,NA,32,65,12,-42,-94,5,-22
464,762,762,0,Bug,Flying,Poison,Dragon,5,5,12,-17,-21,-4,-20
147,798,798,0,Electric,NA,Psychic,Ghost,-15,-45,0,-40,-35,60,-75
